Total trades,Total Winning Trades,Total Losing Trades,Starting Balance,Finishing Balance,Win Rate,Ratio Avg Win/Loss,Longs Count,Longs %,Shorts %,Shorts Count,Fee,Net Profit,Net Profit %,Average Win,Average Loss,Expectancy,Expectancy %,Expected Net Profit Every 100 Trades,Avg Holding Time,Avg Winning Holding Time,Avg Losing Holding Time,Gross Profit,Gross Loss,Max Drawdown,Annual Return,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Omega Ratio,Serenity Index,Total Open Trades,Open PL,Winning Streak,Losing Streak,Largest Losing Trade,Largest Winning Trade,Current Streak,Hyperparameters
33,24,9,10000.0,13003.89,0.73,0.75,33,100.0,0.0,0,575.95,3003.89,30.04,250.09,333.14,91.03,0.91,91.03,50h 39m 25.45s,55h 47m 50.00s,36h 57m 0.00s,6002.11,-2998.22,-15.68,88.69,2.07,5.66,4.15,1.52,inf,1,0.0,7,2,-540.3,1774.16,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.96, rsi: 5"""
24,17,7,10000.0,12342.8,0.71,0.81,24,100.0,0.0,0,417.61,2342.8,23.43,282.07,350.35,97.62,0.98,97.62,58h 32m 42.50s,66h 4m 0.00s,40h 16m 42.86s,4795.22,-2452.43,-10.62,66.33,1.82,6.25,3.71,1.49,inf,1,0.0,6,2,-541.49,1817.79,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.96, rsi: 6"""
21,14,7,10000.0,11912.05,0.67,0.85,21,100.0,0.0,0,350.02,1912.05,19.12,332.87,392.59,91.05,0.91,91.05,72h 48m 2.86s,77h 56m 17.14s,62h 31m 34.29s,4660.15,-2748.1,-16.21,52.64,1.48,3.25,2.75,1.37,inf,1,0.0,6,3,-498.46,1697.81,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.96, rsi: 7"""
14,7,7,10000.0,9687.2,0.5,0.89,14,100.0,0.0,0,202.06,-312.8,-3.13,363.34,408.02,-22.34,-0.22,-22.34,100h 26m 8.57s,112h 0m 0.00s,88h 52m 17.14s,2543.35,-2856.15,-17.31,-7.39,-0.05,-0.43,-0.09,0.99,-inf,1,72.06,3,3,-425.81,747.0,3,"""xparam: 70, take_profit: 1.18, stop_loss: 0.96, rsi: 10"""
20,12,8,10000.0,11646.37,0.6,1.0,20,100.0,0.0,0,332.23,1646.37,16.46,408.34,406.72,82.32,0.82,82.32,80h 24m 33.00s,94h 15m 40.00s,59h 37m 52.50s,4900.09,-3253.72,-15.57,44.54,1.27,2.86,2.21,1.3,inf,1,0.0,3,3,-491.43,1726.9,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.96, rsi: 8"""
36,25,11,10000.0,12421.23,0.69,0.74,36,100.0,0.0,0,609.94,2421.23,24.21,240.08,325.52,67.26,0.67,67.26,45h 28m 56.67s,54h 21m 40.80s,25h 18m 10.91s,6001.97,-3580.74,-14.91,68.89,1.78,4.62,3.5,1.42,inf,1,0.0,6,2,-399.22,1722.73,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.97, rsi: 5"""
17,10,7,10000.0,11830.38,0.59,1.1,17,100.0,0.0,0,281.85,1830.38,18.3,502.94,457.0,107.67,1.08,107.67,100h 28m 52.94s,121h 54m 48.00s,69h 51m 51.43s,5029.38,-3199.0,-16.45,50.13,1.24,3.05,2.28,1.3,inf,1,88.1,3,3,-506.25,1679.64,3,"""xparam: 70, take_profit: 1.18, stop_loss: 0.96, rsi: 9"""
25,14,11,10000.0,11482.89,0.56,1.13,25,100.0,0.0,0,405.88,1482.89,14.83,349.4,309.88,59.32,0.59,59.32,54h 49m 12.00s,67h 55m 51.43s,38h 8m 0.00s,4891.62,-3408.73,-16.84,39.69,1.24,2.36,2.21,1.3,inf,1,0.0,4,4,-362.93,1661.85,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.97, rsi: 7"""
23,11,12,10000.0,11186.59,0.48,1.43,23,100.0,0.0,0,371.18,1186.59,11.87,451.09,314.62,51.59,0.52,51.59,59h 54m 57.39s,84h 16m 32.73s,37h 35m 10.00s,4961.99,-3775.39,-16.2,31.13,1.01,1.92,1.73,1.24,inf,1,0.0,3,4,-364.26,1690.5,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.97, rsi: 8"""
26,17,9,10000.0,12308.1,0.65,1.02,26,100.0,0.0,0,444.41,2308.1,23.08,283.52,279.08,88.77,0.89,88.77,52h 6m 25.38s,64h 38m 56.47s,28h 25m 0.00s,4819.84,-2511.74,-9.6,65.2,1.86,6.79,3.79,1.5,inf,1,0.0,6,2,-401.94,1776.46,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.97, rsi: 6"""
21,9,12,10000.0,10418.94,0.43,1.48,21,100.0,0.0,0,322.88,418.94,4.19,480.85,325.73,19.95,0.2,19.95,66h 35m 45.71s,102h 33m 33.33s,39h 37m 25.00s,4327.64,-3908.7,-15.26,10.43,0.45,0.68,0.78,1.1,inf,1,77.55,2,4,-354.51,1640.36,2,"""xparam: 70, take_profit: 1.18, stop_loss: 0.97, rsi: 9"""
17,6,11,10000.0,9233.47,0.35,1.41,17,100.0,0.0,0,238.65,-766.53,-7.67,423.56,300.72,-45.09,-0.45,-45.09,73h 36m 3.53s,112h 40m 0.00s,52h 17m 32.73s,2541.37,-3307.9,-19.47,-17.53,-0.4,-0.9,-0.66,0.91,-inf,1,68.82,3,5,-316.37,806.99,3,"""xparam: 70, take_profit: 1.18, stop_loss: 0.97, rsi: 10"""
40,25,15,10000.0,12745.0,0.62,1.08,40,100.0,0.0,0,684.05,2745.0,27.45,247.56,229.61,68.63,0.69,68.63,38h 38m 10.50s,45h 33m 40.80s,27h 5m 40.00s,6189.11,-3444.1,-13.35,79.73,1.98,5.97,3.93,1.49,inf,1,0.0,6,2,-273.73,1772.88,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.98, rsi: 5"""
29,13,16,10000.0,11503.7,0.45,1.76,29,100.0,0.0,0,471.14,1503.7,15.04,385.92,219.58,51.85,0.52,51.85,42h 22m 47.59s,53h 9m 23.08s,33h 37m 26.25s,5016.95,-3513.25,-14.38,40.3,1.27,2.8,2.28,1.32,inf,1,0.0,3,5,-247.42,1711.99,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.98, rsi: 7"""
26,8,18,10000.0,10429.3,0.31,2.49,26,100.0,0.0,0,398.05,429.3,4.29,551.05,221.06,16.51,0.17,16.51,47h 35m 0.00s,82h 52m 45.00s,31h 53m 46.67s,4408.44,-3979.14,-15.46,10.69,0.46,0.69,0.82,1.11,inf,1,77.75,2,6,-239.55,1654.68,2,"""xparam: 70, take_profit: 1.18, stop_loss: 0.98, rsi: 9"""
32,18,14,10000.0,11870.94,0.56,1.24,32,100.0,0.0,0,540.45,1870.94,18.71,280.65,227.2,58.47,0.58,58.47,37h 16m 9.38s,44h 23m 26.67s,28h 6m 47.14s,5051.68,-3180.75,-9.56,51.37,1.55,5.37,2.92,1.42,inf,1,0.0,3,2,-262.58,1790.78,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.98, rsi: 6"""
21,6,15,10000.0,9625.27,0.29,2.2,21,100.0,0.0,0,299.47,-374.73,-3.75,454.43,206.75,-17.84,-0.18,-17.84,55h 0m 8.57s,85h 20m 0.00s,42h 52m 12.00s,2726.58,-3101.3,-16.87,-8.82,-0.12,-0.52,-0.21,0.97,-inf,1,71.66,3,6,-218.01,814.38,3,"""xparam: 70, take_profit: 1.18, stop_loss: 0.98, rsi: 10"""
33,24,9,10000.0,12551.35,0.73,0.65,33,100.0,0.0,0,564.31,2551.35,25.51,252.25,389.17,77.31,0.77,77.31,50h 59m 47.27s,55h 47m 55.00s,38h 11m 26.67s,6053.91,-3502.56,-19.12,73.2,1.71,3.83,3.24,1.43,inf,1,0.0,7,2,-654.17,1892.09,-1,"""xparam: 70, take_profit: 1.2, stop_loss: 0.95, rsi: 5"""
24,17,7,10000.0,11914.4,0.71,0.68,24,100.0,0.0,0,410.3,1914.4,19.14,288.72,427.69,79.77,0.8,79.77,59h 7m 57.50s,66h 4m 7.06s,42h 17m 17.14s,4908.23,-2993.83,-13.37,52.72,1.45,3.94,2.83,1.38,inf,1,0.0,6,2,-663.07,1960.82,-1,"""xparam: 70, take_profit: 1.2, stop_loss: 0.95, rsi: 6"""
27,10,17,10000.0,11320.04,0.37,2.29,27,100.0,0.0,0,439.52,1320.04,13.2,510.19,222.46,48.89,0.49,48.89,45h 32m 0.00s,66h 42m 12.00s,33h 4m 49.41s,5101.91,-3781.87,-13.72,34.95,1.12,2.55,1.96,1.28,inf,1,0.0,3,5,-251.65,1740.64,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.98, rsi: 8"""
21,14,7,10000.0,11380.67,0.67,0.71,21,100.0,0.0,0,340.91,1380.67,13.81,336.81,476.39,65.75,0.66,65.75,73h 27m 54.29s,77h 56m 25.71s,64h 30m 51.43s,4715.4,-3334.74,-19.62,36.7,1.08,1.87,1.91,1.26,inf,1,0.0,6,3,-603.73,1811.23,-1,"""xparam: 70, take_profit: 1.2, stop_loss: 0.95, rsi: 7"""
20,12,8,10000.0,11010.89,0.6,0.84,20,100.0,0.0,0,322.44,1010.89,10.11,412.27,492.04,50.54,0.51,50.54,81h 56m 30.00s,94h 15m 50.00s,63h 27m 30.00s,4947.19,-3936.3,-19.03,26.21,0.83,1.38,1.41,1.19,inf,1,0.0,3,3,-594.52,1843.58,-1,"""xparam: 70, take_profit: 1.2, stop_loss: 0.95, rsi: 8"""
17,10,7,10000.0,11182.82,0.59,0.91,17,100.0,0.0,0,272.89,1182.82,11.83,505.49,553.16,69.58,0.7,69.58,102h 17m 3.53s,121h 55m 0.00s,74h 14m 17.14s,5054.92,-3872.11,-19.02,31.03,0.86,1.63,1.55,1.2,inf,1,83.23,3,3,-612.91,1791.02,3,"""xparam: 70, take_profit: 1.2, stop_loss: 0.95, rsi: 9"""
13,7,6,10000.0,9494.2,0.54,0.71,13,100.0,0.0,0,182.68,-505.8,-5.06,353.81,497.07,-38.91,-0.39,-38.91,109h 0m 18.46s,112h 0m 0.00s,105h 30m 40.00s,2476.65,-2982.45,-19.03,-11.79,-0.19,-0.62,-0.31,0.96,-inf,1,70.64,3,3,-523.44,716.72,3,"""xparam: 70, take_profit: 1.2, stop_loss: 0.95, rsi: 10"""
33,24,9,10000.0,13224.03,0.73,0.78,33,100.0,0.0,0,580.86,3224.03,32.24,259.94,334.95,97.7,0.98,97.7,50h 39m 29.09s,55h 47m 55.00s,36h 57m 0.00s,6238.55,-3014.52,-15.68,96.5,2.13,6.16,4.41,1.56,inf,1,0.0,7,2,-548.66,1972.95,-1,"""xparam: 70, take_profit: 1.2, stop_loss: 0.96, rsi: 5"""
24,17,7,10000.0,12550.16,0.71,0.84,24,100.0,0.0,0,421.54,2550.16,25.5,295.4,353.09,106.26,1.06,106.26,58h 32m 47.50s,66h 4m 7.06s,40h 16m 42.86s,5021.8,-2471.63,-10.62,73.16,1.89,6.89,4.01,1.53,inf,1,0.0,6,2,-551.06,2021.46,-1,"""xparam: 70, take_profit: 1.2, stop_loss: 0.96, rsi: 6"""
17,10,7,10000.0,12031.23,0.59,1.14,17,100.0,0.0,0,285.01,2031.23,20.31,525.53,460.58,119.48,1.19,119.48,100h 29m 0.00s,121h 55m 0.00s,69h 51m 51.43s,5255.29,-3224.05,-16.45,56.36,1.32,3.43,2.5,1.33,inf,1,89.73,3,3,-514.89,1867.83,3,"""xparam: 70, take_profit: 1.2, stop_loss: 0.96, rsi: 9"""
21,14,7,10000.0,12113.12,0.67,0.88,21,100.0,0.0,0,353.7,2113.12,21.13,348.43,394.98,100.62,1.01,100.62,72h 48m 8.57s,77h 56m 25.71s,62h 31m 34.29s,4877.96,-2764.84,-16.21,58.95,1.56,3.64,3.01,1.4,inf,1,0.0,6,3,-506.83,1888.05,-1,"""xparam: 70, take_profit: 1.2, stop_loss: 0.96, rsi: 7"""
